are,is,a,the,of,that,and,in,toare,is,a,the,of,that,and,in,to,sub_size,time_limit,class
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6,1
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,6,0,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,93,3,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,39,2,1
1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,3,1,0
0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,2,0,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,3,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0
0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,3,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1
0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,3,5,1
1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,5,3,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,3,0,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,3,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,2,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,7,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,5,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1
1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,3,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,3,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,5,1
0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,6,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1
0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,3,2,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,3,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,878,5,0
0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,2,1,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,0
1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5,1,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,157,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61,4,1
1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,5,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,0
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,3,3,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,5,1,1
0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,34,2,0
1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0
1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,11,1,1
1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,2,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,195,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0
0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,3,2,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,10,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,7,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,0
0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,2,1,1
0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,11,5,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,137,8,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,12,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,3,1,0
1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,3,1,0
1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,3,2,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,4,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,2,1
1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,25,1,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,5,1,1
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,3,1,1
0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,4,8,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,3,2,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,78,1,0
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,6,1,1
1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,18,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0
0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,3,1,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,13,1,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2,1,1
0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,349,1,1
0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,62,4,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,13,1,0
1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,320,5,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,4,7,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,63,2,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,1
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,23,1,1
0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,3,1,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,0
0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,4,1,1
0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,3,1,0
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,4,2,1
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,98,1,0
1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,15,1,0
1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,3,1,0
1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,3,3,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0
0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,2,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,3,1,1
0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,247,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,3,4,1
1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,0
1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,4,2,1
0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,11,1,1
0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,3,1,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,4,1,1
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,3,2,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1
1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,25,4,0
0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,6,3,1
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0
1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,11,3,0
0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,3,1,0
1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,2,1,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,3,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,3,1
0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,2,1,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2,1,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,5,0
0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,10,1,1
0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,3,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,22,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,0
0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,4,2,1
0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,3,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,71,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,1
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,4,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,94,2,1
0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,11,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1
0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,3,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,10,1,0
1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,3,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,5,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,4,1,1
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,4,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,0
0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,22,1,1
1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,3,3,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,3,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,56,3,1
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,15,1,1
1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,102,2,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,9,6,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,2,0
0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,3,1,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,12,4,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2,1
0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,3,1,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,74,1,1
1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,48,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,3,2,0
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,2,1,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,6,5,1
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,3,1,0
1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,5,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,645,3,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,4,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,1,1
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1
0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,5,3,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,7,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,34,2,1
